4/1/2011 14:05,,,,,,
LadderDrivePower,LineFollowState,GyroAngle,FrontLeftEncoderDistance,AutonomousActiveState,SonarDistance,LadderPosition
79,79,79,79,79,79,79
1,1,689.96,79,79,79,0
1,1,-0.06,79,79,79,0
1,1,-0.06,79,79,79,0
1,1,-0.06,79,79,79,0
1,1,-0.06,79,79,79,0
1,1,-0.06,79,79,79,0
1,1,-0.05,79,79,79,0
1,1,-0.05,79,79,79,0
1,1,-0.05,79,79,79,0
1,1,-0.05,79,79,79,0
1,1,-0.05,79,79,79,0
1,1,-0.05,79,79,79,0
1,1,-0.06,79,79,79,0
1,1,-0.05,79,79,79,0
1,1,-0.05,79,79,79,0
1,1,-0.04,79,79,79,0
1,1,-0.04,79,79,79,0
1,1,-0.04,79,79,79,0
1,1,-0.04,79,79,79,0
1,1,-0.04,79,79,79,0
1,1,-0.04,79,79,79,0
1,1,-0.03,79,79,79,0
1,1,-0.04,79,79,79,0
1,1,-0.04,79,79,79,0
1,1,-0.04,79,79,79,0
1,1,-0.04,79,79,79,0
1,1,-0.03,79,79,79,0
1,1,-0.02,79,79,79,0
1,1,-0.03,79,79,79,0
1,1,-0.04,79,79,79,0
1,1,-0.03,79,79,79,0
1,1,-0.03,79,79,79,0
1,1,-0.01,79,79,79,0
1,1,-0.01,79,79,79,0
1,1,-0.01,79,79,79,0
1,1,-0.01,79,79,79,0
1,1,0,79,79,79,0
1,1,0,79,79,79,0
1,1,-0.01,79,79,79,0
1,1,0,79,79,79,0
1,1,0,79,79,79,0
1,1,0,79,79,79,0
1,1,0,79,79,79,0
1,1,-0.01,79,79,79,0
1,1,-0.02,79,79,79,0
1,1,-0.01,79,79,79,0
1,1,-0.01,79,79,79,0
1,1,0,79,79,79,0
1,1,0,79,79,79,0
1,1,0.01,79,79,79,0
1,1,0.02,79,79,79,0
1,1,0.02,79,79,79,0
1,1,0.02,79,79,79,0
1,1,0.02,79,79,79,0
1,1,0.02,79,79,79,0
1,1,0.03,79,79,79,0
1,1,0.03,79,79,79,0
1,1,0.02,79,79,79,0
1,1,0.04,79,79,79,0
1,1,0.04,79,79,79,0
1,1,0.05,79,79,79,0
1,1,0.05,79,79,79,0
1,1,0.05,79,79,79,0
1,1,0.05,79,79,79,0
1,1,0.06,79,79,79,0
1,1,0.06,79,79,79,0
1,1,0.07,79,79,79,0
1,1,0.06,79,79,79,0
1,1,0.06,79,79,79,0
1,1,0.07,79,79,79,0
1,1,0.08,79,79,79,0
1,1,0.08,79,79,79,0
1,1,0.09,79,79,79,0
1,1,0.09,79,79,79,0
1,1,0.09,79,79,79,0
1,1,0.09,79,79,79,0
1,1,0.1,79,79,79,0
1,1,0.1,79,79,79,0
1,1,0.11,79,79,79,0
1,1,0.12,79,79,79,0
1,1,0.12,79,79,79,0
1,1,0.12,79,79,79,0
1,1,0.14,79,79,79,0
1,1,0.13,79,79,79,0
1,1,0.13,79,79,79,0
1,1,0.14,79,79,79,0
1,1,0.14,79,79,79,0
1,1,0.15,79,79,79,0
1,1,0.14,79,79,79,0
1,1,0.14,79,79,79,0
1,1,0.14,79,79,79,0
1,1,0.14,79,79,79,0
1,1,0.14,79,79,79,0
1,1,0.13,79,79,79,0
1,1,0.13,79,79,79,0
1,1,0.13,79,79,79,0
1,1,0.13,79,79,79,0
1,1,0.13,79,79,79,0
1,1,0.12,79,79,79,0
1,1,0.12,79,79,79,0
1,1,0.12,79,79,79,0
1,1,0.13,79,79,79,0
1,1,0.14,79,79,79,0
1,1,0.14,79,79,79,0
1,1,0.15,79,79,79,0
1,1,0.15,79,79,79,0
1,1,0.16,79,79,79,0
1,1,0.16,79,79,79,0
1,1,0.16,79,79,79,0
1,1,0.17,79,79,79,0
1,1,0.18,79,79,79,0
1,1,0.18,79,79,79,0
1,1,0.18,79,79,79,0
1,1,0.19,79,79,79,0
1,1,0.19,79,79,79,0
1,1,0.2,79,79,79,0
1,1,0.2,79,79,79,0
1,1,0.21,79,79,79,0
1,1,0.21,79,79,79,0
1,1,0.21,79,79,79,0
1,1,0.21,79,79,79,0
1,1,0.21,79,79,79,0
1,1,0.21,79,79,79,0
1,1,0.21,79,79,79,0
1,1,0.21,79,79,79,0
1,1,0.21,79,79,79,0
1,1,0.22,79,79,79,0
1,1,0.22,79,79,79,0
1,1,0.23,79,79,79,0
1,1,0.23,79,79,79,0
1,1,0.23,79,79,79,0
1,1,0.26,79,79,79,0
1,1,0.26,79,79,79,0
1,1,0.27,79,79,79,0
1,1,0.27,79,79,79,0
1,1,0.27,79,79,79,0
1,1,0.33,79,79,79,0
1,1,0.33,79,79,79,0
1,1,0.36,79,79,79,0
1,1,0.36,79,79,79,0
1,1,0.36,79,79,79,0
1,1,0.4,79,79,79,0
1,1,0.4,79,79,79,0
1,1,0.46,79,79,79,0
1,1,0.46,79,79,79,0
1,1,0.46,79,79,79,0
1,1,0.47,79,79,79,0
1,1,0.47,79,79,79,0
1,1,0.54,79,79,79,0
1,1,0.54,79,79,79,0
1,1,0.54,79,79,79,0
1,1,0.59,79,79,79,0
1,1,0.59,79,79,79,0
1,1,0.61,79,79,79,0
1,1,0.61,79,79,79,0
1,1,0.61,79,79,79,0
1,1,0.66,79,79,79,0
1,1,0.66,79,79,79,0
1,1,0.7,79,79,79,0
1,1,0.7,79,79,79,0
1,1,0.7,79,79,79,0
1,1,0.75,79,79,79,0
1,1,0.75,79,79,79,0
1,1,0.78,79,79,79,0
1,1,0.78,79,79,79,0
1,1,0.78,79,79,79,0
1,1,0.79,79,79,79,0
1,1,0.79,79,79,79,0
1,1,0.79,79,79,79,0
1,1,0.81,79,79,79,0
1,1,0.81,79,79,79,0
1,1,0.87,79,79,79,0
1,1,0.87,79,79,79,0
1,1,0.94,79,79,79,0
1,1,0.94,79,79,79,0
1,1,0.94,79,79,79,0
1,1,0.92,79,79,79,0
1,1,0.92,79,79,79,0
1,1,0.92,79,79,79,0
1,1,0.93,79,79,79,0
1,1,0.93,79,79,79,0
1,1,0.95,79,79,79,0
1,1,0.95,79,79,79,0
1,1,0.95,79,79,79,0
1,1,0.95,79,79,79,0
1,1,0.95,79,79,79,0
1,1,0.98,79,79,79,0
1,1,0.98,79,79,79,0
1,1,0.97,79,79,79,0
1,1,0.97,79,79,79,0
1,1,0.97,79,79,79,0
1,1,1.03,79,79,79,0
1,1,1.03,79,79,79,0
1,1,1.04,79,79,79,0
1,1,1.04,79,79,79,0
1,1,1.04,79,79,79,0
1,1,1.08,79,79,79,0
1,1,1.08,79,79,79,0
1,1,1.1,79,79,79,0
1,1,1.1,79,79,79,0
1,1,1.1,79,79,79,0
1,1,1.14,79,79,79,0
1,1,1.14,79,79,79,0
1,1,1.19,79,79,79,0
1,1,1.19,79,79,79,0
1,1,1.21,79,79,79,0
1,1,1.21,79,79,79,0
1,1,1.22,79,79,79,0
1,1,1.23,79,79,79,0
1,1,1.23,79,79,79,0
1,1,1.23,79,79,79,0
1,1,1.23,79,79,79,0
1,1,1.23,79,79,79,0
1,1,1.23,79,79,79,0
1,1,1.23,79,79,79,0
1,1,1.23,79,79,79,0
1,1,1.27,79,79,79,0
1,1,1.27,79,79,79,0
1,1,1.27,79,79,79,0
1,1,1.26,79,79,79,0
1,1,1.26,79,79,79,0
1,1,1.27,79,79,79,0
1,1,1.29,79,79,79,0
1,1,1.29,79,79,79,0
1,1,1.29,79,79,79,0
1,1,1.29,79,79,79,0
1,1,1.3,79,79,79,0
1,1,1.29,79,79,79,0
1,1,1.3,79,79,79,0
1,1,1.3,79,79,79,0
1,1,1.31,79,79,79,0
1,1,1.32,79,79,79,0
1,1,1.32,79,79,79,0
1,1,1.32,79,79,79,0
1,1,1.32,79,79,79,0
1,1,1.33,79,79,79,0
1,1,1.33,79,79,79,0
1,1,1.33,79,79,79,0
1,1,1.33,79,79,79,0
1,1,1.33,79,79,79,0
1,1,1.33,79,79,79,0
1,1,1.34,79,79,79,0
1,1,1.35,79,79,79,0
1,1,1.36,79,79,79,0
1,1,1.35,79,79,79,0
1,1,1.35,79,79,79,0
1,1,1.35,79,79,79,0
1,1,1.36,79,79,79,0
1,1,1.36,79,79,79,0
1,1,1.36,79,79,79,0
1,1,1.36,79,79,79,0
1,1,1.36,79,79,79,0
