4/1/2011 9:38,,,,,,
LadderDrivePower,LineFollowState,GyroAngle,FrontLeftEncoderDistance,AutonomousActiveState,SonarDistance,LadderPosition
79,79,79,79,79,79,79
1,1,-0.06,79,79,79,0
1,1,-0.05,79,79,79,0
1,1,-0.05,79,79,79,0
1,1,-0.05,79,79,79,0
1,1,-0.05,79,79,79,0
1,1,-0.05,79,79,79,0
1,1,-0.04,79,79,79,0
1,1,-0.05,79,79,79,0
1,1,-0.05,79,79,79,0
1,1,-0.05,79,79,79,0
1,1,-0.05,79,79,79,0
1,1,-0.07,79,79,79,0
1,1,-0.07,79,79,79,0
1,1,-0.07,79,79,79,0
1,1,-0.07,79,79,79,0
1,1,-0.07,79,79,79,0
1,1,-0.06,79,79,79,0
1,1,-0.06,79,79,79,0
1,1,-0.06,79,79,79,0
1,1,-0.06,79,79,79,0
1,1,-0.07,79,79,79,0
1,1,-0.07,79,79,79,0
1,1,-0.06,79,79,79,0
1,1,-0.06,79,79,79,0
1,1,-0.07,79,79,79,0
1,1,-0.07,79,79,79,0
1,1,-0.07,79,79,79,0
1,1,-0.07,79,79,79,0
1,1,-0.07,79,79,79,0
1,1,-0.07,79,79,79,0
1,1,-0.08,79,79,79,0
1,1,-0.08,79,79,79,0
1,1,-0.08,79,79,79,0
1,1,-0.08,79,79,79,0
1,1,-0.08,79,79,79,0
1,1,-0.09,79,79,79,0
1,1,-0.1,79,79,79,0
1,1,-0.1,79,79,79,0
1,1,-0.1,79,79,79,0
1,1,-0.1,79,79,79,0
1,1,-0.09,79,79,79,0
1,1,-0.08,79,79,79,0
1,1,-0.08,79,79,79,0
1,1,-0.09,79,79,79,0
1,1,-0.08,79,79,79,0
1,1,-0.08,79,79,79,0
1,1,-0.08,79,79,79,0
1,1,-0.08,79,79,79,0
1,1,-0.08,79,79,79,0
1,1,-0.08,79,79,79,0
1,1,-0.08,79,79,79,0
1,1,-0.09,79,79,79,0
1,1,-0.1,79,79,79,0
1,1,-0.1,79,79,79,0
1,1,-0.11,79,79,79,0
1,1,-0.12,79,79,79,0
1,1,-0.12,79,79,79,0
1,1,-0.12,79,79,79,0
1,1,-0.11,79,79,79,0
1,1,-0.11,79,79,79,0
1,1,-0.11,79,79,79,0
1,1,-0.11,79,79,79,0
1,1,-0.12,79,79,79,0
1,1,-0.12,79,79,79,0
1,1,-0.12,79,79,79,0
1,1,-0.12,79,79,79,0
1,1,-0.11,79,79,79,0
1,1,-0.11,79,79,79,0
1,1,-0.11,79,79,79,0
1,1,-0.11,79,79,79,0
1,1,-0.12,79,79,79,0
1,1,-0.12,79,79,79,0
1,1,-0.12,79,79,79,0
1,1,-0.13,79,79,79,0
1,1,-0.13,79,79,79,0
1,1,-0.13,79,79,79,0
1,1,-0.13,79,79,79,0
1,1,-0.13,79,79,79,0
1,1,-0.14,79,79,79,0
1,1,-0.14,79,79,79,0
1,1,-0.15,79,79,79,0
1,1,-0.16,79,79,79,0
1,1,-0.15,79,79,79,0
1,1,-0.16,79,79,79,0
1,1,-0.17,79,79,79,0
1,1,-0.17,79,79,79,0
1,1,-0.17,79,79,79,0
1,1,-0.17,79,79,79,0
1,1,-0.17,79,79,79,0
1,1,-0.16,79,79,79,0
1,1,-0.16,79,79,79,0
1,1,-0.16,79,79,79,0
1,1,-0.17,79,79,79,0
1,1,-0.18,79,79,79,0
1,1,-0.18,79,79,79,0
1,1,-0.17,79,79,79,0
1,1,-0.17,79,79,79,0
1,1,-0.17,79,79,79,0
1,1,-0.18,79,79,79,0
1,1,-0.18,79,79,79,0
1,1,-0.2,79,79,79,0
1,1,-0.21,79,79,79,0
1,1,-0.2,79,79,79,0
1,1,-0.2,79,79,79,0
1,1,-0.21,79,79,79,0
1,1,-0.22,79,79,79,0
1,1,-0.23,79,79,79,0
1,1,-0.22,79,79,79,0
1,1,-0.22,79,79,79,0
1,1,-0.22,79,79,79,0
1,1,-0.22,79,79,79,0
1,1,-0.21,79,79,79,0
1,1,-0.21,79,79,79,0
1,1,-0.22,79,79,79,0
1,1,-0.22,79,79,79,0
1,1,-0.22,79,79,79,0
1,1,-0.23,79,79,79,0
1,1,-0.24,79,79,79,0
1,1,-0.25,79,79,79,0
1,1,-0.26,79,79,79,0
1,1,-0.26,79,79,79,0
1,1,-0.26,79,79,79,0
1,1,-0.26,79,79,79,0
1,1,-0.26,79,79,79,0
1,1,-0.27,79,79,79,0
1,1,-0.28,79,79,79,0
1,1,-0.28,79,79,79,0
1,1,-0.28,79,79,79,0
1,1,-0.28,79,79,79,0
1,1,-0.28,79,79,79,0
1,1,-0.29,79,79,79,0
1,1,-0.29,79,79,79,0
1,1,-0.29,79,79,79,0
1,1,-0.3,79,79,79,0
1,1,-0.3,79,79,79,0
1,1,-0.31,79,79,79,0
1,1,-0.32,79,79,79,0
1,1,-0.33,79,79,79,0
1,1,-0.34,79,79,79,0
1,1,-0.34,79,79,79,0
1,1,-0.34,79,79,79,0
1,1,-0.34,79,79,79,0
1,1,-0.35,79,79,79,0
1,1,-0.35,79,79,79,0
1,1,-0.36,79,79,79,0
1,1,-0.36,79,79,79,0
1,1,-0.37,79,79,79,0
1,1,-0.37,79,79,79,0
1,1,-0.37,79,79,79,0
1,1,-0.37,79,79,79,0
1,1,-0.37,79,79,79,0
1,1,-0.37,79,79,79,0
1,1,-0.37,79,79,79,0
1,1,-0.37,79,79,79,0
1,1,-0.37,79,79,79,0
1,1,-0.37,79,79,79,0
1,1,-0.38,79,79,79,0
1,1,-0.38,79,79,79,0
1,1,-0.38,79,79,79,0
1,1,-0.38,79,79,79,0
1,1,-0.37,79,79,79,0
1,1,-0.38,79,79,79,0
1,1,-0.37,79,79,79,0
1,1,-0.38,79,79,79,0
1,1,-0.38,79,79,79,0
1,1,-0.37,79,79,79,0
1,1,-0.36,79,79,79,0
1,1,-0.36,79,79,79,0
1,1,-0.35,79,79,79,0
1,1,-0.35,79,79,79,0
1,1,-0.34,79,79,79,0
1,1,-0.34,79,79,79,0
1,1,-0.34,79,79,79,0
1,1,-0.34,79,79,79,0
1,1,-0.34,79,79,79,0
1,1,-0.34,79,79,79,0
1,1,-0.35,79,79,79,0
1,1,-0.36,79,79,79,0
1,1,-0.35,79,79,79,0
1,1,-0.35,79,79,79,0
