4/1/2011 12:09,,,,,,
LadderDrivePower,LineFollowState,GyroAngle,FrontLeftEncoderDistance,AutonomousActiveState,SonarDistance,LadderPosition
79,79,79,79,79,79,79
79,6,79,79,79,79,79
1,6,-0.07,79,79,79,0
1,6,-0.07,79,79,79,0
1,6,-0.06,79,79,79,0
1,6,-0.05,79,79,79,0
1,6,-0.05,79,79,79,0
1,6,-0.05,79,79,79,0
1,6,-0.05,79,79,79,0
1,6,-0.06,79,79,79,0
1,6,-0.06,79,79,79,0
1,6,-0.06,79,79,79,0
1,6,-0.06,79,79,79,0
1,6,-0.06,79,79,79,0
1,6,-0.06,79,79,79,0
1,6,-0.06,79,79,79,0
1,6,-0.06,79,79,79,0
1,6,-0.07,79,79,79,0
1,6,-0.07,79,79,79,0
1,6,-0.07,79,79,79,0
1,6,-0.08,79,79,79,0
1,6,-0.08,79,79,79,0
1,6,-0.07,79,79,79,0
1,6,-0.07,79,79,79,0
1,6,-0.07,79,79,79,0
1,6,-0.06,79,79,79,0
1,6,-0.06,79,79,79,0
1,6,-0.05,79,79,79,0
1,6,-0.06,79,79,79,0
1,6,-0.05,79,79,79,0
1,6,-0.04,79,79,79,0
1,6,-0.04,79,79,79,0
1,6,-0.04,79,79,79,0
1,6,-0.04,79,79,79,0
1,6,-0.04,79,79,79,0
1,6,-0.04,79,79,79,0
1,6,-0.03,79,79,79,0
1,6,-0.02,79,79,79,0
1,6,-0.02,79,79,79,0
1,6,-0.02,79,79,79,0
1,6,-0.02,79,79,79,0
1,6,-0.02,79,79,79,0
1,6,-0.01,79,79,79,0
1,6,-0.01,79,79,79,0
1,6,0,79,79,79,0
1,6,0,79,79,79,0
1,6,-0.01,79,79,79,0
1,6,-0.01,79,79,79,0
1,6,-0.02,79,79,79,0
1,6,-0.02,79,79,79,0
1,6,-0.03,79,79,79,0
1,6,-0.03,79,79,79,0
1,6,-0.02,79,79,79,0
1,6,-0.02,79,79,79,0
1,6,-0.02,79,79,79,0
1,6,-0.03,79,79,79,0
1,6,-0.04,79,79,79,0
1,6,-0.03,79,79,79,0
1,6,-0.03,79,79,79,0
1,6,-0.03,79,79,79,0
1,6,-0.03,79,79,79,0
1,6,-0.03,79,79,79,0
1,6,-0.03,79,79,79,0
1,6,-0.03,79,79,79,0
1,6,-0.04,79,79,79,0
1,6,-0.05,79,79,79,0
1,6,-0.06,79,79,79,0
1,6,-0.06,79,79,79,0
1,6,-0.07,79,79,79,0
1,6,-0.08,79,79,79,0
1,6,-0.07,79,79,79,0
1,6,-0.07,79,79,79,0
1,6,-0.08,79,79,79,0
1,6,-0.08,79,79,79,0
1,6,-0.09,79,79,79,0
1,6,-0.09,79,79,79,0
1,6,-0.09,79,79,79,0
1,6,-0.08,79,79,79,0
1,6,-0.08,79,79,79,0
1,6,-0.08,79,79,79,0
1,6,-0.09,79,79,79,0
1,6,-0.09,79,79,79,0
1,6,-0.09,79,79,79,0
1,6,-0.09,79,79,79,0
1,6,-0.1,79,79,79,0
1,6,-0.1,79,79,79,0
1,6,-0.11,79,79,79,0
1,6,-0.11,79,79,79,0
1,6,-0.11,79,79,79,0
1,6,-0.11,79,79,79,0
1,6,-0.11,79,79,79,0
1,6,-0.1,79,79,79,0
1,6,-0.1,79,79,79,0
1,6,-0.1,79,79,79,0
1,6,-0.09,79,79,79,0
1,6,-0.09,79,79,79,0
1,6,-0.09,79,79,79,0
1,6,-0.09,79,79,79,0
1,6,-0.09,79,79,79,0
1,6,-0.09,79,79,79,0
1,6,-0.09,79,79,79,0
1,6,-0.1,79,79,79,0
1,6,-0.11,79,79,79,0
1,6,-0.09,79,79,79,0
1,6,-0.09,79,79,79,0
1,6,-0.09,79,79,79,0
1,6,-0.09,79,79,79,0
1,6,-0.1,79,79,79,0
1,6,-0.1,79,79,79,0
1,6,-0.08,79,79,79,0
1,6,-0.07,79,79,79,0
1,6,-0.07,79,79,79,0
1,6,-0.06,79,79,79,0
1,6,-0.07,79,79,79,0
1,6,-0.07,79,79,79,0
1,6,-0.08,79,79,79,0
1,6,-0.08,79,79,79,0
